theta(deg),phi(deg),Beam Width in azimuth(deg),Beam Width in elevation(deg)
90,90,5.944622119,5.944622119
92.53893421,86.33283694,4.859787178,6.215048883
87.46116601,93.66723089,4.864154345,6.245214848
92.79677834,93.63631026,4.86423881,6.223401354
87.3285627,86.18515196,5.466045757,6.135567181
84.78161365,89.84599499,5.490113716,6.143219646
95.32639562,89.96328246,4.854778945,6.197771125
90.26485351,97.27684915,4.822166486,6.211951816
89.87582938,82.55841757,5.384704388,6.10790908
82.27950681,93.50590271,5.455917159,6.131227337
97.80945656,86.2931478,4.81662055,6.126808764
82.87758079,85.00670411,5.97539729,5.708621864
98.06101495,93.59283871,4.819560537,6.091011836
95.03369914,82.70093556,4.789158929,6.145673719
84.96669895,97.29933231,4.801406911,6.209543724
95.54045611,97.23940863,4.79874558,6.116963019
85.43664001,81.40301892,5.897995551,5.703246528
80.35042898,88.65291416,5.98848091,5.702292464
100.5335888,89.91656315,4.789021301,6.030759817
87.77431618,100.8512598,4.72893369,6.16566347
93.01576358,100.8223782,4.726087767,6.108343422
92.37962275,78.99901884,5.250756829,6.060231382
87.98333467,77.87413467,5.761581768,5.6837889
77.8982029,92.30713482,5.939942253,5.68263636
79.86366756,97.12988206,5.366265299,6.100211566
100.2049685,82.66113142,4.727591286,6.023987096
100.696171,97.18700266,4.733509259,5.911772056
78.66386481,83.66010427,5.872653175,5.485532196
97.44380523,79.13760639,4.670046021,6.044098903
82.55708035,100.8629837,4.689902833,6.14072663
81.21307176,80.08679456,5.797305346,5.491507094
102.9169539,86.24607451,4.732485967,5.929598919
98.18493772,100.776322,4.682084769,5.939445643
103.1593972,93.53680856,4.734158173,5.852979888
76.17378876,87.28560789,5.886104475,5.471409765
90.529681,104.3111533,4.606120737,6.066145581
83.77797757,76.59670434,5.665048887,5.486334418
85.36466496,104.329318,4.590696582,6.087540582
94.80051596,75.53673355,5.071848061,5.992980297
95.66874802,104.2738527,4.582623154,5.934967206
105.5334733,89.85982474,4.685493962,5.765368768
90.47586092,74.44856615,5.573753516,5.649047371
75.559079,95.93442241,5.830751808,5.653098303
73.7834377,90.9295782,5.839766588,5.448551281
77.56913816,100.6848519,5.227303872,6.051004251
102.4784255,79.10042254,4.59377855,5.893782198
105.1758505,82.61655096,4.628866617,5.80230609
103.1928598,100.7131428,4.60076791,5.774416715
77.1343279,78.79215291,5.65739907,5.202620858
74.61395382,82.33053869,5.73037494,5.186874531
105.6470312,97.11968538,4.6318653,5.694865204
86.31591104,73.21677536,5.482893121,5.468048059
99.73559319,75.67264143,4.509985977,5.914731353
80.26595697,104.3283779,4.53701338,6.042823369
100.6923073,104.2174569,4.522460087,5.788089929
88.1204317,107.6797326,4.44617485,5.993080912
79.69621923,75.34471259,5.530554461,5.211317094
93.1890006,107.6531824,4.440963053,5.899005271
107.7825175,86.19157919,4.614100549,5.643745761
72.17665717,85.93023614,5.744954162,5.167392492
108.0141358,93.46826671,4.614749024,5.551987387
83.06840628,107.6854643,4.415890116,5.981951316
71.52735409,94.55730623,5.737215738,5.417748329
92.87803276,71.14999345,5.344539027,5.598183747
73.36361603,99.50126909,5.669495517,5.612687137
97.10620184,72.1966806,4.857513179,5.90715856
98.18718998,107.6058391,4.401098784,5.74142041
82.25729578,72.0135097,5.356134873,5.210333959
88.78827115,69.96895573,5.26023253,5.434938429
69.85990316,89.55850089,5.703116339,5.143869793
75.42241752,104.1412567,5.047491233,5.984760602
110.2578896,89.7930955,4.551815819,5.426403974
107.2833134,79.06098589,4.48511257,5.653994443
104.6038988,75.64055977,4.423458479,5.741510319
73.24348709,77.52193824,5.484679123,4.855625321
107.9661701,100.6329582,4.488303277,5.550423721
105.5220969,104.1420773,4.430349631,5.627443459
90.78233611,110.8932163,4.26510909,5.833846192
70.76816111,81.02121456,5.555475957,4.832487723
109.8784363,82.56712545,4.500368376,5.502838338
101.8840647,72.33111044,4.318138782,5.762879706
78.11831128,107.6704265,4.351740157,5.920884175
75.7829476,74.12059751,5.36403095,4.876221948
85.81922534,110.9074776,4.25522251,5.893210539
110.3273363,97.03757143,4.501184304,5.412957386
95.71716241,110.8567535,4.24335332,5.681003268
103.0349082,107.5378005,4.329855698,5.642284224
84.77773971,68.8187469,5.142698183,5.197080747
69.43177174,98.13494869,5.583429987,5.38074825
68.39588681,84.59029646,5.573107849,4.809531001
78.3456007,70.8407873,5.198652082,4.891558636
67.69430212,93.18108817,5.608436058,5.116560261
95.16135769,67.99670734,5.085089757,5.531009729
71.33322092,102.9772815,5.465829961,5.561341635
112.3490658,86.12965994,4.469630504,5.295032043
80.90950122,110.89953,4.21397203,5.854087492
112.5692412,93.38731302,4.469470155,5.220887983
99.27299266,68.99862831,4.617978371,5.804353153
91.16298936,66.86980169,5.00764223,5.385956912
100.5447429,110.7981694,4.191971166,5.597373867
109.2216968,75.60860011,4.309672991,5.4899915
73.44065381,107.4742503,4.836555251,5.902868141
66.16060777,88.19759386,5.535995786,4.789395275
80.89158767,67.70097693,4.996279716,4.89819018
88.47847856,113.978459,4.064069961,5.743082243
106.5647782,72.30626198,4.225867495,5.572767982
93.31697532,113.9542435,4.057423601,5.622102021
111.8022507,79.01918805,4.351568491,5.347530175
110.0971562,104.0478936,4.312587206,5.391918846
87.22293474,65.77528546,4.90005183,5.169479409
69.57164938,76.27874079,5.287108693,4.47027414
72.07206993,72.92652899,5.172546964,4.500271354
107.665695,107.4492351,4.232180137,5.465261412
114.6616599,89.71644793,4.396542154,5.041061941
112.4517419,100.5359503,4.352078932,5.261511755
83.64898039,113.9793532,4.04266724,5.771439285
103.8733738,69.1326818,4.104053265,5.594184943
76.12997129,110.869441,4.143499375,5.780387793
67.15423028,79.73511484,5.35570872,4.442875565
98.08913616,113.9067675,4.023701078,5.535470472
65.70186291,96.76405519,5.464703506,5.087178508
67.51361098,101.6312628,5.389978228,5.334617772
74.61674621,69.70035802,5.016713463,4.529672158
114.2671072,82.51281227,4.350292954,5.151089654
105.1957921,110.7176153,4.114544581,5.480554662
114.693457,96.94083373,4.349538801,5.078745035
64.08900647,91.80954077,5.450861683,4.768818186
64.85560865,83.2691071,5.375758378,4.420380752
97.30586681,65.00154888,4.806457332,5.448113311
69.47993229,106.3364737,5.230992998,5.498448031
83.38487759,64.71439154,4.765807911,4.893042525
78.90308986,113.9569372,3.994249689,5.713893402
93.41585974,63.93054411,4.735722848,5.320938738
101.2860446,65.95681779,4.363113007,5.686660696
77.16680476,66.61699877,4.826415481,4.554487392
102.7254967,113.836162,3.965388967,5.440450293
116.5823466,86.06034973,4.307425868,4.909745113
91.01466532,116.8877868,3.851941191,5.543163831
116.7913722,93.29409823,4.306614763,4.851546807
89.5651937,62.89282329,4.63813966,5.126371301
86.29922347,116.8988329,3.846773788,5.63115703
110.982443,72.28371213,4.111373661,5.315406334
71.63206392,110.6643591,4.604326603,5.807029948
113.5441681,75.57660822,4.175836673,5.182451976
95.70067275,116.8526158,3.833019706,5.429802675
62.7060983,86.85042619,5.345774233,4.404878299
108.3533017,69.11679053,4.01010744,5.392957212
112.0306609,107.3403795,4.114079732,5.22451047
68.58607249,71.7644019,4.963033326,4.102436398
114.376335,103.9351511,4.176127005,5.102331073
66.13798871,75.06488116,5.07177314,4.066026136
63.89543685,100.2755244,5.283499703,5.051475688
81.62422607,116.8857124,3.81734985,5.632988016
116.0005473,78.97493748,4.200928604,4.998613605
79.6859004,63.68811488,4.609551954,4.570827512
109.6156137,110.6153111,4.015890798,5.293356557
65.78069232,105.0190149,5.165379489,5.280166524
71.09609682,68.59370409,4.842304466,4.134342472
62.19921177,95.3923278,5.319315876,4.750048284
105.6961882,66.09146193,3.876676072,5.414126399
74.30825073,113.911295,3.921146608,5.626744588
85.7952555,61.8892855,4.51637482,4.873877188
116.6174809,100.4223624,4.199639087,4.93045245
63.78786352,78.47497328,5.138718388,4.036954519
100.2899099,116.7934295,3.7916466,5.375371346
118.7216291,89.62999704,4.227481665,4.634671987
107.1678287,113.7426257,3.886004591,5.30852237
73.6309722,65.56791457,4.677783843,4.148680232
99.29983962,62.17224994,4.518657007,5.35081739
118.3178124,82.45359441,4.186538061,4.771510237
67.80728837,109.5580612,4.975036304,5.424725847
60.72868696,90.44637974,5.271232399,4.393351141
95.53075554,61.15751464,4.454187654,5.240621409
61.56816468,81.96977322,5.161701365,4.017161748
118.7228918,96.82970078,4.184652874,4.715488974
77.05623886,116.8484527,3.765087882,5.565568402
103.1385714,63.08022026,4.101928071,5.556196855
93.40551935,119.6297062,3.627892542,5.306350676
91.78443507,60.17639064,4.366180117,5.067641407
82.14232061,60.92061545,4.374336881,4.575468526
104.7229249,116.7104032,3.730301432,5.272774323
76.1549983,62.69722251,4.473004424,4.184179762
112.5649107,69.10514347,3.898530315,5.134830826
115.1026364,72.26325744,3.981237124,5.011739233
97.9192377,119.5829659,3.600752251,5.279168806
69.99721919,113.6976329,4.359895628,5.699202371
120.4685398,85.98371516,4.135070485,4.510965204
109.9692434,66.0858286,3.784366446,5.206948134
59.50568914,85.52040399,5.140415913,4.007231998
120.6673666,93.18882148,4.133693395,4.466299231
88.09937976,59.22949204,4.256624916,4.839484193
117.5463719,75.54443828,4.029006819,4.841150677
116.0993025,107.2115352,3.981769241,4.939409987
65.33683651,70.63583476,4.802578582,3.884923773
113.7662759,110.491543,3.901434961,5.052683494
62.95100888,73.8824009,4.862688265,3.782019805
67.79880756,67.52204516,4.693716828,3.954622661
64.23288229,108.2759226,4.919815608,5.216760012
118.3375834,103.8041577,4.027677617,4.779410544
58.93811611,94.02351577,5.153439496,4.386839144
111.3723453,113.6264226,3.789989303,5.116548385
107.3523115,63.21626892,3.643723347,5.227663745
72.65332746,116.7871523,3.692356272,5.464927882
119.863057,78.92815943,4.040338043,4.629322314
60.67433944,77.24325587,4.887300552,3.648671385
102.313345,119.5117298,3.55534587,5.206105593
70.30216321,64.55458532,4.541618937,3.98940905
78.63595585,59.98729575,4.241678442,4.21967728
120.4501353,100.2924964,4.037842905,4.57805396
84.51031439,58.31724397,4.128605034,4.566223512
97.49897432,58.55280382,4.171282532,5.146500597
108.9519761,116.6037757,3.65226288,5.131167063
101.1387534,59.51204723,4.230172377,5.240924918
66.31187937,112.626738,4.707405547,5.34093379
57.62010548,89.09521835,5.076037557,4.006708241
122.4330603,89.53389816,4.051470161,4.227765172
93.86795039,57.62703797,4.092100505,4.994127851
58.53597688,80.69515893,4.937816131,3.614898946
75.36932076,119.569623,3.533499922,5.408893371
72.81260205,61.74226598,4.354284109,3.989584952
122.0247133,82.38947969,4.01596784,4.384629354
122.4108437,96.70445362,4.013201756,4.342865619
113.9746809,66.08613773,3.678390715,4.952175479
106.5381185,119.4162104,3.493997382,5.099322017
81.04658922,57.4398958,3.995636566,4.249054902
68.53076718,116.5653678,4.11107191,5.581502093
111.4181855,63.22178808,3.555493902,5.018887631
117.6262263,110.3466601,3.776512567,4.77600931
56.55946014,84.21073422,4.924212327,3.612393093
75.29826128,59.08962073,4.14095005,3.957277868
62.32725833,69.54217331,4.645817697,3.677450361
64.73105081,66.48634725,4.546652491,3.76299611
115.3105338,113.4878798,3.682041138,4.880144546
119.8578183,107.0630661,3.840983206,4.628318164
60.01048322,72.73305888,4.698158215,3.562952949
124.009982,85.89985482,3.958853393,4.116651596
86.7706112,55.87728898,3.879304182,4.542069461
124.1999644,93.07172753,3.956920676,4.082733265
67.18974408,63.57764326,4.405641999,3.817229566
112.9428573,116.4738471,3.561452908,4.938845279
121.9750591,103.6552804,3.873094063,4.441317673
71.15994488,119.492886,3.463342107,5.29925118
57.81066957,76.0421485,4.70208726,3.42340791
123.3903376,78.87879583,3.875784932,4.2575246
69.67096601,60.82359568,4.230189539,3.839504502
77.73124511,56.59753518,3.910926968,3.89604738
83.3653893,55.05358455,3.751003307,4.26055093
55.75380693,79.44786572,4.659882314,3.263893998
125.8049307,89.42834462,3.87407355,3.835139304
125.3956752,82.32049978,3.844076881,4.005858949
80.08857925,54.26394182,3.667069019,3.898528587
74.58075188,55.79010261,3.810699844,3.793667496
127.220421,85.80889745,3.783609116,3.739294569
127.4031023,92.9431036,3.781061269,3.713280254
76.95783209,53.50816437,3.583548727,3.731469904
128.8553141,89.31356501,3.699422603,3.466261372
